Path,Plant name,Volume,Dim_X,Dim_Y,Dim_Z,Cumul_Area,Font_Area_Ratio,Left_Area_Ratio,Top_Area_Ratio,Code_Error,Model issue,Cause
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL000_S38_20250616_1030.ply,0.00033,0.302,0.283,0.568,0.175,0.250,0.263,0.392,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL001_S38_20250616_1040.ply,0.00043,0.303,0.300,0.468,0.179,0.305,0.290,0.397,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL002_S34_20250616_1056.ply,0.00026,0.232,0.278,0.715,0.138,0.217,0.198,0.300,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL002_S38_20250616_1108.ply,0.00010,0.238,0.262,0.452,0.090,0.190,0.165,0.327,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL003_S34_20250616_1117.ply,0.00018,0.273,0.237,0.648,0.157,0.221,0.242,0.389,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL003_S38_20250616_1128.ply,0.00013,0.259,0.260,0.571,0.111,0.186,0.184,0.360,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL005_S34_20250616_1157.ply,0.00004,0.226,0.232,0.748,0.117,0.196,0.176,0.354,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL005_S38_20250616_1209.ply,0.00080,0.237,0.318,0.598,0.150,0.285,0.218,0.346,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL008_S26_20250616_1242.ply,0.00029,0.308,0.249,0.857,0.178,0.191,0.229,0.359,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL008_S38_20250616_1301.ply,0.00024,0.291,0.324,0.543,0.098,0.156,0.149,0.220,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL012_S30_20250616_1310.ply,0.00022,0.279,0.361,0.905,0.176,0.215,0.151,0.337,0,Slight alignment issue,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL013_S30_20250616_1318.ply,0.00010,0.398,0.290,0.961,0.198,0.134,0.170,0.423,0,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA023_S38_20250613_2302.ply,0.002,0.256,0.523,0.377,0.149,0.295,0.264,0.308,4,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA025_S34_20250613_2318.ply,0.176,2.509,1.881,1.074,2.020,0.174,0.192,0.247,4,,
D:\Clement\3D_Digitalisation\2025-05-19_Harvest_Thlapsi_arvense_Brassica_rapa\02_Metashape_BatchProc_withConfidence,Metashape_TA026_S38_20250613_2336.ply,0.311,2.117,1.371,1.691,2.675,0.236,0.310,0.404,4,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL013_S38_20250616_1328.ply,0.00009,0.226,0.292,0.621,0.104,0.190,0.157,0.273,0,,
D:\Clement\3D_Digitalisation\2025-05-12_Harvest_Solanum_lycopersicum\02_Metashape_BatchProc_withConfidence,Metashape_SL017_S38_20250616_1423.ply,0.00030,0.245,0.284,0.426,0.082,0.196,0.187,0.258,0,,
